state,cases-norm
NY,1583.82
NJ,495.60
LA,386.12
WA,324.23
MA,264.48
DC,259.30
CT,245.42
MI,229.70
GU,223.27
VT,197.12
VI,162.04
CO,158.37
IL,147.18
MS,126.67
DE,118.10
GA,117.45
RI,117.05
TN,114.73
ME,110.85
UT,107.92
NV,104.22
WI,100.47
AR,92.78
PA,88.03
SC,82.35
NH,79.43
FL,78.31
WY,76.02
IN,70.85
MD,69.97
HI,63.57
AZ,61.82
OH,60.23
MO,58.00
AL,57.72
AK,57.41
CA,53.20
ND,51.18
MN,50.89
MT,49.59
OR,49.55
NC,48.05
NM,47.69
SD,46.35
IA,45.96
VA,45.81
KS,43.25
OK,41.45
ID,40.85
KY,35.14
TX,33.59
NE,31.53
WV,21.76
PR,15.97
AS,0.00
MP,0.00
