state,cases-norm
NY,1915.23
NJ,774.13
LA,495.83
MA,347.79
WA,338.81
DC,327.31
MI,285.98
CT,283.85
GU,271.55
VT,253.21
IL,200.29
CO,188.58
MS,162.96
VI,162.04
RI,155.75
GA,143.63
TN,140.05
NV,136.36
DE,133.50
PA,131.78
UT,125.39
WI,121.43
ME,115.31
AR,111.01
FL,109.65
AL,103.20
NH,100.76
MD,95.94
IN,95.81
WY,91.58
SC,88.57
MO,81.79
AK,80.65
AZ,79.27
OR,77.53
CA,76.08
OH,74.17
ID,68.82
ND,68.24
HI,67.10
MT,66.43
OK,62.67
MN,61.35
NC,60.64
KS,57.67
IA,56.73
VA,53.89
NM,53.41
SD,52.00
TX,48.14
KY,44.32
NE,37.74
WV,28.46
PR,20.04
AS,0.00
MP,0.00
